Wall time,Step,Value,Smoothed
1579535013.50248,2295615.00000,-80.58165,6.84156
1579535013.51159,2294040.00000,57.71652,6.62547
1579535073.29325,2359660.00000,81.08870,6.20368
1579535133.28680,2425643.00000,84.22796,5.86607
1579535192.74760,2490906.00000,-41.75313,5.75014
1579535252.55414,2556363.00000,-217.52217,5.57907
1579535252.58125,2557035.00000,-55.37368,5.12069
1579535252.58687,2557823.00000,-19.60784,5.04575
1579535312.75640,2623179.00000,83.58410,4.99236
1579535372.54713,2688218.00000,-53.88544,4.97476
1579535432.95180,2752671.00000,-37.29953,5.07456
1579535492.99848,2819132.00000,-16.66521,5.00725
1579535493.00998,2818723.00000,-8.75115,4.98339
1579535552.69406,2884148.00000,-54.67057,5.05563
1579535552.69840,2885500.00000,78.11575,5.15519
1579535672.16861,3016026.00000,82.86417,5.08428
1579535672.21469,3015655.00000,-2.71515,4.96686
1579535732.54583,3081016.00000,61.42880,5.02537
1579535732.57551,3080915.00000,59.15461,5.13290
1579535732.59232,3080579.00000,-12.32605,5.23670
1579535732.59418,3080247.00000,-51.56429,5.16180
1579535792.49988,3146800.00000,83.42109,5.25493
1579535792.52627,3146068.00000,78.64857,5.33670
1579535852.47318,3212414.00000,-55.97952,5.19528
1579535912.57844,3277426.00000,77.87306,5.30308
1579535912.60482,3277935.00000,82.09568,5.39216
1579536032.20692,3408846.00000,82.01572,5.35201
1579536032.22090,3409813.00000,76.64377,5.44322
1579536032.25230,3409713.00000,-40.41315,5.54724
1579536032.25564,3409572.00000,-12.04591,5.52245
1579536092.34036,3473771.00000,-26.09306,5.48436
1579536152.14098,3539063.00000,-64.74533,5.58486
1579536211.82298,3605951.00000,-49.74989,5.67387
1579536211.83511,3604941.00000,-8.92034,5.61463
1579536271.67393,3670743.00000,72.31888,5.71792
1579536271.69559,3671006.00000,84.67871,5.64236
1579536271.69621,3671856.00000,76.74313,5.22892
1579536331.90872,3737236.00000,58.26978,5.30760
1579536391.63993,3802187.00000,82.12328,5.41330
1579536391.64306,3802004.00000,79.14491,4.92580
1579536391.65338,3802102.00000,-47.25348,4.90800
1579536451.77420,3868600.00000,82.15047,4.88225
1579536451.79491,3867174.00000,83.37817,4.98171
1579536511.44371,3932947.00000,82.61382,4.95610
1579536511.45788,3933139.00000,-14.70468,5.05592
1579536571.28205,3997825.00000,-40.97667,5.16249
1579536571.28696,3998116.00000,80.24488,5.26945
1579536631.57450,4064424.00000,86.41916,5.10774
1579536631.57766,4064013.00000,77.41110,5.08061
1579536631.60761,4064035.00000,-73.53116,5.04105
1579536751.86083,4195210.00000,81.26919,5.03748
1579536751.87870,4195424.00000,80.78843,4.98441
1579536751.88057,4195982.00000,-45.41581,4.98075
1579536751.89774,4195958.00000,71.61992,4.95875
1579536812.20177,4260332.00000,83.06472,4.55869
1579536872.96525,4327081.00000,82.06703,4.44947
1579536872.98845,4326728.00000,74.77885,4.42127
1579536872.99133,4327223.00000,84.90553,4.51443
1579536933.33328,4391878.00000,81.59204,4.60694
1579536933.33863,4392784.00000,-42.82033,4.53828
1579536993.82538,4456703.00000,86.44603,4.47145
1579536993.84198,4458422.00000,-31.00516,4.47181
1579537054.53525,4522810.00000,-46.81248,4.42509
1579537054.53629,4523932.00000,-43.50516,4.50171
1579537114.97593,4589436.00000,78.28969,4.60957
1579537114.99656,4587972.00000,81.08865,4.70726
1579537115.00670,4588472.00000,83.57512,4.67908
1579537175.75270,4655071.00000,-29.54006,4.78225
1579537175.79247,4653249.00000,-19.02329,4.77590
1579537175.79906,4653497.00000,-47.69854,4.88267
1579537236.19392,4720217.00000,85.37448,4.81556
1579537236.19462,4719126.00000,81.61095,4.91817
1579537236.21216,4719152.00000,81.44729,4.89423
1579537236.21329,4720495.00000,77.69689,4.96936
1579537236.22548,4720466.00000,82.71890,5.06995
1579537297.14296,4786074.00000,22.36759,5.01379
1579537357.44160,4850483.00000,76.26099,4.96681
1579537357.45444,4851176.00000,82.05797,4.90758
1579537417.90471,4917007.00000,-12.50172,5.01056
1579537417.91255,4916916.00000,-24.67154,4.93062
1579537417.93878,4917023.00000,-48.50563,4.93081
1579537417.95690,4916211.00000,-58.95056,4.89676
1579537478.44711,4980860.00000,83.45884,4.74225
1579537478.44843,4981776.00000,82.27120,4.84888
1579537539.77249,5048157.00000,61.38828,4.93250
1579537600.13027,5113662.00000,81.26318,5.03546
1579537661.01795,5177356.00000,78.39001,4.98761
1579537721.69505,5244373.00000,73.93031,5.09314
1579537721.71289,5243219.00000,-51.71937,5.07207
1579537781.80045,5309507.00000,-22.44477,5.17857
1579537781.80750,5308674.00000,87.20553,5.07358
1579537781.82162,5309671.00000,74.88343,5.03350
1579537842.77239,5373978.00000,81.57762,5.11362
1579537903.66492,5440129.00000,-25.19106,5.06414
1579537903.67757,5440229.00000,-15.51635,5.00568
1579537903.68545,5439873.00000,82.19817,4.92747
1579537964.33610,5506566.00000,67.38199,5.03296
1579537964.35252,5505779.00000,82.43223,4.67992
1579538024.82879,5571326.00000,88.22398,4.70769
1579538024.87104,5572516.00000,81.84171,4.77599
1579538085.31077,5637480.00000,57.30646,4.75024
1579538085.32274,5637567.00000,67.55180,4.76640
1579538085.35052,5637051.00000,83.72025,4.86464
1579538145.85795,5702314.00000,-16.80775,4.96818
1579538145.86510,5702752.00000,-15.99272,4.89133
1579538145.87049,5702351.00000,83.16559,4.98972
1579538206.34201,5768421.00000,79.20385,4.95965
1579538206.34883,5769113.00000,82.28767,4.91079
1579538206.36351,5767557.00000,71.39174,4.40926
1579538206.36819,5768687.00000,61.26917,4.51222
1579538328.11140,5898796.00000,-178.76846,4.61558
1579538328.14793,5898354.00000,83.46828,4.67249
1579538328.14816,5898569.00000,-3.32618,4.30413
1579538328.15563,5899696.00000,70.14171,4.40093
1579538388.44726,5964773.00000,85.66459,4.49832
1579538388.45233,5965427.00000,61.89328,4.37477
1579538510.71872,6095292.00000,79.81927,4.47007
1579538510.75161,6095621.00000,-0.52344,4.57620
1579538510.76918,6096886.00000,77.67565,4.68229
1579538631.83350,6227556.00000,-99.02553,4.78226
1579538631.86212,6226451.00000,80.84374,4.88753
1579538631.87449,6227104.00000,81.43688,4.97393
1579538692.26193,6292666.00000,61.07897,5.04079
1579538692.31146,6293151.00000,81.07307,5.10632
1579538753.00432,6358090.00000,-27.88331,5.20773
1579538813.43839,6424446.00000,-18.47318,5.31322
1579538813.44857,6423718.00000,82.20329,5.31528
1579538813.45531,6423680.00000,6.50233,5.41967
1579538874.03626,6489815.00000,79.54887,5.51750
1579538874.03989,6489592.00000,21.44118,4.75300
1579538874.04950,6489268.00000,-109.82313,4.69086
1579538874.05193,6489616.00000,60.48090,4.56112
1579538994.86850,6620442.00000,78.14001,4.66525
1579539115.69853,6751096.00000,-18.50012,4.76848
1579539236.72221,6883128.00000,58.84367,4.63000
1579539297.32951,6948283.00000,51.13647,4.58260
1579539297.34418,6948196.00000,85.57584,4.52128
1579539357.84232,7014106.00000,79.73438,4.50846
1579539418.31655,7078638.00000,59.95237,4.60807
1579539418.34417,7078032.00000,-17.55969,4.23187
1579539418.34708,7079423.00000,-55.41687,4.20580
1579539478.90401,7144099.00000,73.13543,4.31006
1579539478.93809,7144703.00000,73.50684,4.40786
1579539539.05287,7210057.00000,78.28568,4.51001
